"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 30 08:02:53 UTC 2026","Thu Apr 30 08:02:54 UTC 2026","794","","api.UserCanChangeUsernameTest","","api.UserCanChangeUsernameTest","userCantChangeUsernameWithInvalidData","userCantChangeUsernameWithInvalidData(String) [5] ",""
"passed","Thu Apr 30 08:02:50 UTC 2026","Thu Apr 30 08:02:53 UTC 2026","2692","","api.UserCanDepositTest","","api.UserCanDepositTest","userCantDepositWithInvalidData","userCantDepositWithInvalidData(float) [3] 5000.1",""
"passed","Thu Apr 30 08:02:52 UTC 2026","Thu Apr 30 08:02:53 UTC 2026","684","","api.UserCanChangeUsernameTest","","api.UserCanChangeUsernameTest","userCantChangeUsernameWithInvalidData","userCantChangeUsernameWithInvalidData(String) [4] Дмитрий_Иванов",""
"passed","Thu Apr 30 08:03:13 UTC 2026","Thu Apr 30 08:03:19 UTC 2026","5681","","ui.UserCanTransferUiTest","","ui.UserCanTransferUiTest","userTransferWithCorrectDataTest","userTransferWithCorrectDataTest()",""
"passed","Thu Apr 30 08:02:58 UTC 2026","Thu Apr 30 08:03:05 UTC 2026","6426","","ui.UserCanChangeNameUiTest","","ui.UserCanChangeNameUiTest","userChangeNameWithNotCorrectDataTest","userChangeNameWithNotCorrectDataTest()",""
"passed","Thu Apr 30 08:02:54 UTC 2026","Thu Apr 30 08:02:55 UTC 2026","771","","api.UserCanChangeUsernameTest","","api.UserCanChangeUsernameTest","userCantChangeUsernameWithInvalidData","userCantChangeUsernameWithInvalidData(String) [3] CharliefdsdfdfB",""
"passed","Thu Apr 30 08:02:53 UTC 2026","Thu Apr 30 08:02:54 UTC 2026","1204","","api.UserCanDepositTest","","api.UserCanDepositTest","userCantDepositWithInvalidData","userCantDepositWithInvalidData(float) [2] 0.0",""
"passed","Thu Apr 30 08:02:50 UTC 2026","Thu Apr 30 08:02:52 UTC 2026","2416","","api.UserCanChangeUsernameTest","","api.UserCanChangeUsernameTest","userCanChangeUsername","userCanChangeUsername()",""
"passed","Thu Apr 30 08:02:54 UTC 2026","Thu Apr 30 08:02:55 UTC 2026","828","","api.UserCanChangeUsernameTest","","api.UserCanChangeUsernameTest","userCantChangeUsernameWithInvalidData","userCantChangeUsernameWithInvalidData(String) [1] AliceJohnson",""
"passed","Thu Apr 30 08:03:08 UTC 2026","Thu Apr 30 08:03:10 UTC 2026","2646","","ui.UserCanDepositUiTest","","ui.UserCanDepositUiTest","userDepositWithCorrectDataTest","userDepositWithCorrectDataTest()",""
"passed","Thu Apr 30 08:02:53 UTC 2026","Thu Apr 30 08:02:54 UTC 2026","1080","","api.UserCanDepositTest","","api.UserCanDepositTest","userCantDepositWithInvalidData","userCantDepositWithInvalidData(float) [1] -0.1",""
"passed","Thu Apr 30 08:03:19 UTC 2026","Thu Apr 30 08:03:24 UTC 2026","5452","","ui.UserCanTransferUiTest","","ui.UserCanTransferUiTest","userTransferWithNotCorrectDataTest","userTransferWithNotCorrectDataTest()",""
"passed","Thu Apr 30 08:03:11 UTC 2026","Thu Apr 30 08:03:13 UTC 2026","2519","","ui.UserCanDepositUiTest","","ui.UserCanDepositUiTest","userDepositWithNotCorrectDataTest","userDepositWithNotCorrectDataTest()",""
"passed","Thu Apr 30 08:02:53 UTC 2026","Thu Apr 30 08:02:54 UTC 2026","1224","","api.UserCanTransferTest","","api.UserCanTransferTest","userCantTransferMoney","userCantTransferMoney(float) [2] 0.0",""
"passed","Thu Apr 30 08:02:50 UTC 2026","Thu Apr 30 08:02:53 UTC 2026","3121","","api.UserCanTransferTest","","api.UserCanTransferTest","userCantTransferMoney","userCantTransferMoney(float) [3] 5000.1",""
"passed","Thu Apr 30 08:02:54 UTC 2026","Thu Apr 30 08:02:55 UTC 2026","1207","","api.UserCanTransferTest","","api.UserCanTransferTest","userCantTransferMoney","userCantTransferMoney(float) [1] -0.1",""
"passed","Thu Apr 30 08:02:51 UTC 2026","Thu Apr 30 08:02:53 UTC 2026","1900","","api.UserCanDepositTest","","api.UserCanDepositTest","userCanDeposit","userCanDeposit()",""
"passed","Thu Apr 30 08:02:54 UTC 2026","Thu Apr 30 08:02:55 UTC 2026","1210","","api.UserCanTransferTest","","api.UserCanTransferTest","userCanTransferMoney","userCanTransferMoney()",""
"passed","Thu Apr 30 08:02:55 UTC 2026","Thu Apr 30 08:02:55 UTC 2026","520","","api.UserCanChangeUsernameTest","","api.UserCanChangeUsernameTest","userCantChangeUsernameWithInvalidData","userCantChangeUsernameWithInvalidData(String) [2] Bo",""
"passed","Thu Apr 30 08:03:05 UTC 2026","Thu Apr 30 08:03:08 UTC 2026","3099","","ui.UserCanChangeNameUiTest","","ui.UserCanChangeNameUiTest","userChangeNameWithCorrectDataTest","userChangeNameWithCorrectDataTest()",""
